modified_date__v,extract,extract_label,column_name,column_label,type,length,related_extract
,Document.document_version__sys,Document Version,core_rmp_version__v,Core RMP Version,Relationship,,Object.core_rmp_version__v
,Document.document_version__sys,Document Version,countries__v,Countries,MultiRelationship,1000,Object.country__v
,Document.document_version__sys,Document Version,country1__c,Country,Relationship,,Object.country__v
,Document.document_version__sys,Document Version,country2__c,Country,Relationship,,Object.country__v
,Document.document_version__sys,Document Version,country__c,Country,MultiRelationship,1000,Object.country__v
,Document.document_version__sys,Document Version,created_by__v,Created By,Relationship,,Object.user__sys
,Document.document_version__sys,Document Version,crosslink__v,CrossLink,Boolean,,
,Document.document_version__sys,Document Version,date1__c,Date,Date,,
,Document.document_version__sys,Document Version,date__c,date,Date,,
,Document.document_version__sys,Document Version,disable_vault_overlays__v,Disable Vault Overlays,Boolean,,
,Document.document_version__sys,Document Version,dmplanning__c,DM-Planning,String,20,
,Document.document_version__sys,Document Version,document_creation_date__v,Created Date,DateTime,,
,Document.document_version__sys,Document Version,document_number__v,Document Number,String,250,
,Document.document_version__sys,Document Version,document_upload_date__c,Document Upload Date,Date,,
,Document.document_version__sys,Document Version,enable_auto_promote__v,Enable Auto Promote,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,enable_document_duplicate_detection__v,Enable E2B Document Duplicate Detection,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,export_filename__v,Export File Name,String,64,
,Document.document_version__sys,Document Version,external_id__v,External ID,String,255,
,Document.document_version__sys,Document Version,festival__c,Festival,String,20,
,Document.document_version__sys,Document Version,file_created_by__v,File Created By,String,255,
,Document.document_version__sys,Document Version,file_created_date__v,File Created Date,DateTime,,
,Document.document_version__sys,Document Version,file_meta_artist__v,Artist,String,255,
,Document.document_version__sys,Document Version,file_meta_author__v,Author,String,255,
,Document.document_version__sys,Document Version,file_meta_color_space__v,Color Space,String,255,
,Document.document_version__sys,Document Version,file_meta_comments__v,Media Comments,String,1500,
,Document.document_version__sys,Document Version,file_meta_copyright__v,Copyright,String,255,
,Document.document_version__sys,Document Version,file_meta_duration__v,Duration,String,255,
,Document.document_version__sys,Document Version,file_meta_keywords__v,Keywords,String,1500,
,Document.document_version__sys,Document Version,file_meta_location__v,Media Location,String,255,
,Document.document_version__sys,Document Version,file_meta_media_description__v,Media Description,String,1500,
,Document.document_version__sys,Document Version,file_meta_title__v,Media Title,String,255,
,Document.document_version__sys,Document Version,file_meta_year__v,Year,Number,,
,Document.document_version__sys,Document Version,file_modified_by__v,File Last Modified By,String,255,
,Document.document_version__sys,Document Version,file_modified_date__v,File Last Modified Date,DateTime,,
,Document.document_version__sys,Document Version,filename__v,File Name,String,1000,
,Document.document_version__sys,Document Version,followup_questionnaire_rule__v,Follow-up Questionnaire Rule,MultiRelationship,1000,Object.followup_questionnaire_rule__v
,Document.document_version__sys,Document Version,followup_rule__v,Follow-Up Rule,MultiRelationship,1000,Object.followup_rule__v
,Document.document_version__sys,Document Version,format__v,Format,String,255,
,Document.document_version__sys,Document Version,ftp_source_location__v,FTP Source Location,String,1000,
,Document.document_version__sys,Document Version,global_id__sys,Global ID,String,50,
,Document.document_version__sys,Document Version,global_version_id__sys,Global Version ID,String,50,
,Document.document_version__sys,Document Version,inbound_transmission__v,Inbound Transmission,Relationship,,Object.transmission__v
,Document.document_version__sys,Document Version,inbound_transmission_format__v,Inbound Transmission Format,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,inbox_item__v,Inbox Item,MultiRelationship,1000,Object.inbox_item__v
,Document.document_version__sys,Document Version,language__v,Language,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,language_iso__v,Language (ISO),Relationship,,Object.language_iso__v
,Document.document_version__sys,Document Version,last_modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Document.document_version__sys,Document Version,latest_source_major_version__v,Latest Source Major Version,Number,,
,Document.document_version__sys,Document Version,latest_source_minor_version__v,Latest Source Minor Version,Number,,
,Document.document_version__sys,Document Version,latest_version__v,Is Latest Version,Boolean,,
,Document.document_version__sys,Document Version,lifecycle__v,Lifecycle,String,100,
,Document.document_version__sys,Document Version,link__sys,Document Link,String,200,
,Document.document_version__sys,Document Version,link_status__v,Link Status,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,literature_article__v,Literature Article,MultiRelationship,1000,Object.literature_article__v
,Document.document_version__sys,Document Version,literature_classification__v,Literature Classification,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,literature_review__v,Literature Review,Relationship,,Object.literature_review__v
,Document.document_version__sys,Document Version,literature_search_term__v,Literature Search Term,Relationship,,Object.literature_search_term__v
,Document.document_version__sys,Document Version,local_implementation_strategy__v,Local Implementation Strategy,MultiRelationship,1000,Object.rmp_local_implementation_strategy__v
,Document.document_version__sys,Document Version,local_risk_management_plan__v,Local Risk Management Plan,Relationship,,Object.local_rmp__v
,Document.document_version__sys,Document Version,local_rmp_version__v,Local RMP Version,Relationship,,Object.local_rmp_version__v
,Document.document_version__sys,Document Version,localization__v,Localization,Relationship,,Object.localization__v
,Document.document_version__sys,Document Version,localized_case__v,Localized Case,Relationship,,Object.localized_case__v
,Document.document_version__sys,Document Version,lookuptest__c,LookupTest,MultiPicklist,1000,Picklist.picklist__sys
,Document.document_version__sys,Document Version,major_version_number__v,Major Version Number,Number,,
,Document.document_version__sys,Document Version,market__v,Market,Relationship,,Object.country__v
,Document.document_version__sys,Document Version,master_or_working__v,Master or Working,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,md5checksum__v,Checksum,String,40,
,Document.document_version__sys,Document Version,meddra_terms__v,MedDRA Terms,MultiRelationship,1000,Object.meddra_criteria__v
,Document.document_version__sys,Document Version,merge_fields__v,Merge Fields,Boolean,,
,Document.document_version__sys,Document Version,minor_version_number__v,Minor Version Number,Number,,
,Document.document_version__sys,Document Version,name__v,Name,String,100,
,Document.document_version__sys,Document Version,new_date__c,New Date,Date,,
,Document.document_version__sys,Document Version,newtestcaseref__c,NewTestCAseRef,Relationship,,Object.case_version__v
,Document.document_version__sys,Document Version,nonserious_merge_method__v,Non-Serious Merge Method,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,notes__v,Notes,String,255,
,Document.document_version__sys,Document Version,ocr_requested__sys,OCR Requested,Boolean,,
,Document.document_version__sys,Document Version,organization__v,Organization,Relationship,,Object.organization__v
,Document.document_version__sys,Document Version,origin__v,Origin,Relationship,,Object.organization__v
,Document.document_version__sys,Document Version,outbound_transmissions__v,Outbound Transmissions,MultiRelationship,1000,Object.transmission__v
,Document.document_version__sys,Document Version,pages__v,Pages,Number,,
,Document.document_version__sys,Document Version,pages_ocred_percent__sys,Pages OCR'ed (%),Number,,
,Document.document_version__sys,Document Version,product__v,Product,Relationship,,Object.product__v
,Document.document_version__sys,Document Version,product_event_combination__v,Product-Event Combination,Relationship,,Object.product_event_combination__v
,Document.document_version__sys,Document Version,product_event_disposition__v,Product-Event Disposition,Relationship,,Object.product_event_disposition__v
,Document.document_version__sys,Document Version,products_correspondence__v,Products,MultiRelationship,1000,Object.product__v
,Document.document_version__sys,Document Version,psmf_annex__v,PSMF Annex,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,psmf_jurisdiction__v,PSMF Jurisdiction,Relationship,,Object.country__v
,Document.document_version__sys,Document Version,psmf_last_review_date__v,Last Review Date,Date,,
,Document.document_version__sys,Document Version,psmf_next_review_date__v,Next Review Date,Date,,
,Document.document_version__sys,Document Version,psmf_review_frequency__v,Review Frequency,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,psmf_section__v,PSMF Section,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,publication_country__v,Publication Country,Relationship,,Object.country__v
,Document.document_version__sys,Document Version,pv_agreement__v,PV Agreement,Relationship,,Object.pv_agreement__v
,Document.document_version__sys,Document Version,pva_activity__v,PVA Activity,Relationship,,Object.pva_activity__v
,Document.document_version__sys,Document Version,pva_reconciliation__v,PVA Reconciliation,Relationship,,Object.pva_reconciliation__v
,Document.document_version__sys,Document Version,questionnaire_language__v,Language,MultiRelationship,1000,Object.language_iso__v
,Document.document_version__sys,Document Version,receipt_date__v,Receipt Date,Date,,
,Document.document_version__sys,Document Version,redaction__v,Redaction,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,reference_reason_omitted__v,Reference (reason omitted),Relationship,,Object.reason_omitted__v
,Document.document_version__sys,Document Version,reference_text__v,Reference,String,500,
,Document.document_version__sys,Document Version,related_claims__v,Claims,MultiRelationship,1000,Object.annotation_keywords__sys
,Document.document_version__sys,Document Version,related_product__c,Related Product,Relationship,,Object.product__v
,Document.document_version__sys,Document Version,rendition_profile__v,Rendition Profile,Relationship,,Object.rendition_profile__sys
,Document.document_version__sys,Document Version,replyto__v,Reply-To,Relationship,,Object.person__sys
,Document.document_version__sys,Document Version,report_format__v,Report Format,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,report_generation_type__v,Report Generation Type,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,report_type__v,Report Type,Relationship,,Object.controlled_vocabulary__v
,Document.document_version__sys,Document Version,retransmit__v,Retransmit,Boolean,,
,Document.document_version__sys,Document Version,risk_measure__v,Risk Measure,MultiRelationship,1000,Object.rmp_risk_measure__v
,Document.document_version__sys,Document Version,serious_merge_method__v,Serious Merge Method,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,signal_investigation__v,Signal Investigation,Relationship,,Object.safety_investigation__v
,Document.document_version__sys,Document Version,size__v,Size,Number,,
,Document.document_version__sys,Document Version,source__v,Source,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,source_binding_rule__v,Source Binding Rule,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,source_connection_name__sys,Source Vault Connection Name,String,128,
,Document.document_version__sys,Document Version,source_document_name__v,Source Document Name,String,100,
,Document.document_version__sys,Document Version,source_document_number__v,Source Number,String,250,
,Document.document_version__sys,Document Version,source_owner__v,Source Owner,Relationship,,Object.user__sys
,Document.document_version__sys,Document Version,source_report__v,Source Report,String,1500,
,Document.document_version__sys,Document Version,source_report_prompt__v,Source Report Prompt,String,1500,
,Document.document_version__sys,Document Version,source_vault_name__v,Source Vault Name,String,250,
,Document.document_version__sys,Document Version,stage__sys,Lifecycle Stage,Relationship,,Object.doc_lifecycle_stage_label__sys
,Document.document_version__sys,Document Version,state_stage_id__sys,Lifecycle State Stage ID,Relationship,,Object.doc_lifecycle_state_stage__sys
,Document.document_version__sys,Document Version,status__v,Status,String,100,
,Document.document_version__sys,Document Version,study__v,Study,Relationship,,Object.study__v
,Document.document_version__sys,Document Version,study_content_protection__v,Study Content Protection,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,study_type__v,Study Type,Relationship,,Object.controlled_vocabulary__v
,Document.document_version__sys,Document Version,subtitle__c,Subtitle,String,20,
,Document.document_version__sys,Document Version,subtype__v,Subtype,String,100,
,Document.document_version__sys,Document Version,tabular_data_format__v,Tabular Data Format,Relationship,,Object.tabular_data_format__v
,Document.document_version__sys,Document Version,tags__v,Tags,MultiPicklist,1000,Picklist.picklist__sys
,Document.document_version__sys,Document Version,template_doctype__v,Template Document Type,Relationship,,Object.doc_type_detail__v
,Document.document_version__sys,Document Version,template_document__v,Template Document,Boolean,,
,Document.document_version__sys,Document Version,template_organization__v,Organization,Relationship,,Object.organization__v
,Document.document_version__sys,Document Version,testprodref__c,TestPRodRef,Relationship,,Object.product__v
,Document.document_version__sys,Document Version,title__v,Title,String,1000,
,Document.document_version__sys,Document Version,train__c,train,String,1500,
,Document.document_version__sys,Document Version,training__c,Training,String,1500,
,Document.document_version__sys,Document Version,training_list__c,Training List,Boolean,,
,Document.document_version__sys,Document Version,training_nr__c,Training NR,String,1500,
,Document.document_version__sys,Document Version,transmission__v,Transmission,Relationship,,Object.transmission__v
,Document.document_version__sys,Document Version,type__v,Type,String,100,
,Document.document_version__sys,Document Version,version_created_by__v,Version Created By,Relationship,,Object.user__sys
,Document.document_version__sys,Document Version,version_creation_date__v,Version Creation Date,DateTime,,
,Document.document_version__sys,Document Version,version_link__sys,Document Version Link,String,200,
,Document.document_version__sys,Document Version,version_modified_date__v,Last Modified Date,DateTime,,
,Document.document_version__sys,Document Version,watchlist__v,Watchlist,MultiRelationship,1000,Object.watchlist__v
,Document.document_version__sys,Document Version,workbench_report__v,Workbench Report,Relationship,,Object.workbench_report__v
,Document.document_version__sys,Document Version,workbench_report_category__v,Report Category,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,workbench_report_subcategory__v,Report Subcategory,Picklist,46,Picklist.picklist__sys
,Metadata.metadata,Metadata,modified_date__v,Last Modified Date,DateTime,,
,Metadata.metadata,Metadata,extract,Extract,String,,
,Metadata.metadata,Metadata,extract_label,Extract Label,String,,
,Metadata.metadata,Metadata,column_name,Column Name,String,,
,Metadata.metadata,Metadata,column_label,Column Label,String,,
,Metadata.metadata,Metadata,type,Type,String,,
,Metadata.metadata,Metadata,length,Length,Number,,
,Metadata.metadata,Metadata,related_extract,Related Extract,String,,
,Object.abcd__c,abcd,id,ID,String,100,
,Object.abcd__c,abcd,modified_date__v,Last Modified Date,DateTime,,
,Object.abcd__c,abcd,created_by__v,Created By,Relationship,,Object.user__sys
,Object.abcd__c,abcd,created_date__v,Created Date,DateTime,,
,Object.abcd__c,abcd,global_id__sys,Global ID,String,200,
,Object.abcd__c,abcd,link__sys,Link,String,255,
,Object.abcd__c,abcd,modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Object.abcd__c,abcd,name__v,Name,String,128,
,Object.abcd__c,abcd,object_type__v,abcd Type,Relationship,,Object.object_type__v
,Object.abcd__c,abcd,status__v,Status,Picklist,46,Picklist.picklist__sys
,Object.activity__v,Activity,id,ID,String,100,
,Object.activity__v,Activity,modified_date__v,Last Modified Date,DateTime,,
,Object.activity__v,Activity,activity_state__v,State,String,500,
,Object.activity__v,Activity,assigned__v,Assigned,Boolean,,
,Object.activity__v,Activity,assigned_to__v,Assigned To,Relationship,,Object.user__sys
,Object.activity__v,Activity,complete__v,Complete,Boolean,,
,Object.activity__v,Activity,completion_date__v,Completion Date,DateTime,,
,Object.activity__v,Activity,created_by__v,Created By,Relationship,,Object.user__sys
,Object.activity__v,Activity,created_date__v,Created Date,DateTime,,
,Object.activity__v,Activity,description__v,Description,String,500,
,Object.activity__v,Activity,due_date__v,Due Date,Date,,
,Object.activity__v,Activity,end__v,End,DateTime,,
,Object.activity__v,Activity,first_assigned_date__v,First Assigned Date,DateTime,,
,Object.activity__v,Activity,global_id__sys,Global ID,String,200,
,Object.activity__v,Activity,last_assigned_date__v,Last Assigned Date,DateTime,,
,Object.activity__v,Activity,link__sys,Link,String,255,
,Object.activity__v,Activity,modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Object.activity__v,Activity,name__v,Name,String,128,
,Object.activity__v,Activity,object__v,Object,String,500,
,Object.activity__v,Activity,object_type__v,Activity Type,Relationship,,Object.object_type__v
,Object.activity__v,Activity,parent__v,Parent,String,500,
,Object.activity__v,Activity,start__v,Start,DateTime,,
,Object.activity__v,Activity,status__v,Status,Picklist,46,Picklist.picklist__sys
,Object.activity__v,Activity,task_object_type__v,Task Object Type,String,500,
,Object.addedfortesting__c,addedForTesting,id,ID,String,100,
,Object.addedfortesting__c,addedForTesting,modified_date__v,Last Modified Date,DateTime,,
,Object.addedfortesting__c,addedForTesting,created_by__v,Created By,Relationship,,Object.user__sys
,Object.addedfortesting__c,addedForTesting,created_date__v,Created Date,DateTime,,
,Object.addedfortesting__c,addedForTesting,email__c,email_v,String,128,
,Object.addedfortesting__c,addedForTesting,global_id__sys,Global ID,String,200,
,Object.addedfortesting__c,addedForTesting,link__sys,Link,String,255,
,Object.addedfortesting__c,addedForTesting,modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Object.addedfortesting__c,addedForTesting,name__v,Name,String,128,
,Object.addedfortesting__c,addedForTesting,status__v,Status,Picklist,46,Picklist.picklist__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,id,ID,String,100,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,modified_date__v,Last Modified Date,DateTime,,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,agency__v,Agency,Relationship,,Object.organization__v
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,code__v,Code,String,100,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,created_by__v,Created By,Relationship,,Object.user__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,created_by_dictionary__v,Created By (dictionary),Relationship,,Object.user__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,created_date__v,Created Date,DateTime,,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,deprecated__v,Deprecated,Boolean,,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,file_format__v,File Format,MultiPicklist,1000,Picklist.picklist__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,global_id__sys,Global ID,String,200,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,group__v,Group,MultiPicklist,1000,Picklist.picklist__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,lifecycle__v,Lifecycle,String,100,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,link__sys,Link,String,255,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,modified_by_dictionary__v,Last Modified By (dictionary),Relationship,,Object.user__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,name__v,Name,String,128,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,stage__sys,Lifecycle Stage,Relationship,,Object.object_lifecycle_stage_label__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,state__v,Lifecycle State,String,100,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,state_stage_id__sys,Lifecycle State Stage ID,Relationship,,Object.object_lifecycle_state_stage__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,status__v,Status,Picklist,46,Picklist.picklist__sys
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,system_managed__v,System Managed,Boolean,,
,Object.agency_unit_of_measurement__v,Agency Unit of Measurement,unit_of_measurement__v,Unit of Measurement,Relationship,,Object.unit_of_measurement__v
,Object.aggregate_report__v,Aggregate Report,id,ID,String,100,
,Object.aggregate_report__v,Aggregate Report,modified_date__v,Last Modified Date,DateTime,,
,Object.aggregate_report__v,Aggregate Report,aggregate_datasheet__v,Datasheet,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,aggregate_report_template__v,Aggregate Report Template,Relationship,,Object.aggregate_report_template__v
,Object.aggregate_report__v,Aggregate Report,aggregate_reporting_group__v,Aggregate Reporting Group,Relationship,,Object.aggregate_reporting_group__v
,Object.aggregate_report__v,Aggregate Report,axmp_column_name__v,AxMP Column Name,String,200,
,Object.aggregate_report__v,Aggregate Report,case_expectedness__v,Case Expectedness,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,case_relatedness__v,Case Relatedness,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,case_serious__v,Case Serious,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,comments__v,Comments Field,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,created_by__v,Created By,Relationship,,Object.user__sys
,Object.aggregate_report__v,Aggregate Report,created_date__v,Created Date,DateTime,,
,Object.aggregate_report__v,Aggregate Report,data_period_end__v,Data Period End,Date,,
,Object.aggregate_report__v,Aggregate Report,data_period_start__v,Data Period Start,Date,,
,Object.aggregate_report__v,Aggregate Report,documents_to_generate__v,Documents to Generate,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,drug_roles_to_include__v,Drug Roles to Include,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,earliest_submission_date__v,Earliest Submission Date,Date,,
,Object.aggregate_report__v,Aggregate Report,expectedness_source__v,Expectedness Source,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,external_id__v,External ID,String,50,
,Object.aggregate_report__v,Aggregate Report,filter_case_by__v,Filter Case By,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,generate_masked_documents__v,Generate Masked Documents,Boolean,,
,Object.aggregate_report__v,Aggregate Report,global_id__sys,Global ID,String,200,
,Object.aggregate_report__v,Aggregate Report,include_criteria_page__v,Include Criteria Page on Documents,Boolean,,
,Object.aggregate_report__v,Aggregate Report,indicate_unexpected_term__v,Indicate Unexpected Term,Boolean,,
,Object.aggregate_report__v,Aggregate Report,lifecycle__v,Lifecycle,String,100,
,Object.aggregate_report__v,Aggregate Report,link__sys,Link,String,255,
,Object.aggregate_report__v,Aggregate Report,modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Object.aggregate_report__v,Aggregate Report,name__v,Name,String,128,
,Object.aggregate_report__v,Aggregate Report,object_type__v,Aggregate Report Type,Relationship,,Object.object_type__v
,Object.aggregate_report__v,Aggregate Report,organization__v,Organization,Relationship,,Object.organization__v
,Object.aggregate_report__v,Aggregate Report,original_cioms_ii_logic__v,Original CIOMS II Logic,Boolean,,
,Object.aggregate_report__v,Aggregate Report,previous_jpsr_report__v,Previous J-PSR Report,Relationship,,Object.aggregate_report__v
,Object.aggregate_report__v,Aggregate Report,product_family__v,Product Family,Relationship,,Object.reporting_family__v
,Object.aggregate_report__v,Aggregate Report,report_description__v,Report Description,String,500,
,Object.aggregate_report__v,Aggregate Report,report_type__v,Report Type,Relationship,,Object.controlled_vocabulary__v
,Object.aggregate_report__v,Aggregate Report,stage__sys,Lifecycle Stage,Relationship,,Object.object_lifecycle_stage_label__sys
,Object.aggregate_report__v,Aggregate Report,state__v,Lifecycle State,String,100,
,Object.aggregate_report__v,Aggregate Report,state_stage_id__sys,Lifecycle State Stage ID,Relationship,,Object.object_lifecycle_state_stage__sys
,Object.aggregate_report__v,Aggregate Report,states_to_include__v,States to Include,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,status__v,Status,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report__v,Aggregate Report,submission_format__v,Submission Format,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report_case__v,Aggregate Report Case,id,ID,String,100,
,Object.aggregate_report_case__v,Aggregate Report Case,modified_date__v,Last Modified Date,DateTime,,
,Object.aggregate_report_case__v,Aggregate Report Case,aggregate_report__v,Aggregate Report,Relationship,,Object.aggregate_report__v
,Object.aggregate_report_case__v,Aggregate Report Case,case__v,Case,Relationship,,Object.case_version__v
,Object.aggregate_report_case__v,Aggregate Report Case,created_by__v,Created By,Relationship,,Object.user__sys
,Object.aggregate_report_case__v,Aggregate Report Case,created_date__v,Created Date,DateTime,,
,Object.aggregate_report_case__v,Aggregate Report Case,document__v,Document,MultiPicklist,1000,Picklist.picklist__sys
,Object.aggregate_report_case__v,Aggregate Report Case,global_id__sys,Global ID,String,36,
,Object.aggregate_report_case__v,Aggregate Report Case,lifecycle__v,Lifecycle,String,100,
,Object.aggregate_report_case__v,Aggregate Report Case,link__sys,Link,String,255,
,Object.aggregate_report_case__v,Aggregate Report Case,modified_by__v,Last Modified By,Relationship,,Object.user__sys
,Object.aggregate_report_case__v,Aggregate Report Case,name__v,Name,String,128,
,Object.aggregate_report_case__v,Aggregate Report Case,state__v,Lifecycle State,String,100,
,Object.aggregate_report_case__v,Aggregate Report Case,status__v,Status,Picklist,46,Picklist.picklist__sys
,Object.aggregate_report_country__v,Aggregate Report Country,id,ID,String,100,
,Object.aggregate_report_country__v,Aggregate Report Country,modified_date__v,Last Modified Date,DateTime,,
,Object.aggregate_report_country__v,Aggregate Report Country,aggregate_report__v,Aggregate Report,Relationship,,Object.aggregate_report__v
,Object.aggregate_report_country__v,Aggregate Report Country,country__v,Country,Relationship,,Object.country__v
,Object.aggregate_report_country__v,Aggregate Report Country,created_by__v,Created By,Relationship,,Object.user__sys
,Object.aggregate_report_country__v,Aggregate Report Country,created_date__v,Created Date,DateTime,,
,Object.aggregate_report_country__v,Aggregate Report Country,global_id__sys,Global ID,String,200,
,Object.aggregate_report_country__v,Aggregate Report Country,lifecycle__v,Lifecycle,String,100,
,Object.aggregate_report_country__v,Aggregate Report Country,link__sys,Link,String,255,
,Object.aggregate_report_country__v,Aggregate Report Country,modified_by__v,Last Modified By,Relationship,,Object.user__sys
